obraz,TN,FP,FN,TP,trafność,czułość,swoistość,śr. arytm.,śr. geom.
im0001,217324.0,52557.0,5363.0,27725.0,0.808825325363321,0.8379170696324951,0.8052586139817178,0.8215878418071065,0.821425552392842
im0002,245997.0,27333.0,8218.0,19774.0,0.8820165802696119,0.7064161188911118,0.9,0.803208059445556,0.7973546933466941
im0003,231780.0,47253.0,3120.0,21796.0,0.8342715389752886,0.8747792583079146,0.8306544387223017,0.8527168485151082,0.852431389506318
im0004,262242.0,5498.0,14993.0,16043.0,0.9314168474040753,0.5169158396700606,0.9794651527601405,0.7481904962151005,0.7115483482284055
im0005,234365.0,31664.0,7199.0,30778.0,0.8721637072952507,0.8104378966216395,0.8809753823831237,0.8457066395023816,0.844970908300412
im0044,262411.0,57070.0,2864.0,26603.0,0.8282437497850683,0.9028065293379034,0.8213665288389607,0.8620865290884321,0.8611243029989474
ŚREDNIA,242353.16666666666,36895.833333333336,6959.5,23786.5,0.8594896248487692,0.7748787854101874,0.8696200194477073,0.8222494024289474,0.8148091991289363
