obraz,TN,FP,FN,TP,trafność,czułość,swoistość,śr. arytm.,śr. geom.
01_h,231524.0,6822.0,4870.0,28137.0,0.9569122139795764,0.8524555397339958,0.9713777449590092,0.9119166423465025,0.9099760105984245
02_h,232750.0,6678.0,2749.0,29195.0,0.9652617071768642,0.9139431505133985,0.9721085253186762,0.9430258379160373,0.9425772797339668
01_dr,240915.0,13877.0,1743.0,14792.0,0.9424310886863453,0.8945872391895978,0.9455359665923577,0.9200616028909778,0.9197088723657748
02_dr,237865.0,13061.0,1923.0,18565.0,0.9447928257201176,0.906140179617337,0.9479487976534915,0.9270444886354142,0.9268087687186464
01_g,237065.0,12684.0,2236.0,19388.0,0.9450203225818339,0.8965963743988161,0.9492130098619014,0.9229046921303588,0.9225296435206668
02_g,234977.0,12325.0,2169.0,21963.0,0.9466021205891672,0.9101193436101442,0.9501621499219578,0.930140746766051,0.9299252401188902
ŚREDNIA,235849.33333333334,10907.833333333334,2615.0,22006.666666666668,0.9501700464556508,0.8956403045105482,0.9560576990512324,0.9258490017808905,0.9252543025093948
