obraz,TN,FP,FN,TP,trafność,czułość,swoistość,śr. arytm.,śr. geom.
01_h,225800.0,12546.0,4300.0,28707.0,0.9379185046784079,0.869724603871906,0.9473622380908427,0.9085434209813743,0.9077137474153184
02_h,221861.0,17567.0,1838.0,30106.0,0.9284929911707914,0.9424618081642875,0.9266292998312645,0.9345455539977761,0.9345120252928698
01_dr,226136.0,28656.0,1355.0,15180.0,0.8893917671296996,0.9180526156637435,0.8875317906370687,0.9027922031504061,0.9026632161992018
02_dr,233484.0,17442.0,2613.0,17875.0,0.9261091911249972,0.8724619289340102,0.9304894670141794,0.9014756979740948,0.9010086765641994
01_g,230451.0,19298.0,2000.0,19624.0,0.9215176159750602,0.9075101738808731,0.9227304213430284,0.9151202976119508,0.9150886542396769
02_g,228197.0,19105.0,2443.0,21689.0,0.9206142192945614,0.8987651251450356,0.9227462778303451,0.9107557014876904,0.9106767669548322
ŚREDNIA,227654.83333333334,19102.333333333332,2424.8333333333335,22196.833333333332,0.9206740482289196,0.901496042609976,0.9229149157911215,0.9122054792005487,0.9119438477776831
