obraz,TN,FP,FN,TP,trafność,czułość,swoistość,śr. arytm.,śr. geom.
01_h,229175.0,9171.0,6655.0,26352.0,0.9416774459836449,0.7983761020389615,0.961522324687639,0.8799492133633002,0.8761600570715136
02_h,225210.0,14218.0,3202.0,28742.0,0.9358076735993397,0.8997620836463812,0.9406168033813923,0.9201894435138868,0.9199626812666044
01_dr,223945.0,30847.0,1531.0,15004.0,0.8806679762795446,0.9074085273661929,0.8789326195484944,0.8931705734573436,0.8930570832587409
02_dr,236824.0,14102.0,2832.0,17656.0,0.9376082294944255,0.8617727450214759,0.9438001641918334,0.9027864546066546,0.901854344252616
01_g,233533.0,16216.0,2631.0,18993.0,0.9305494651273339,0.8783296337402886,0.9350708110943388,0.9067002224173137,0.9062562568223875
02_g,229422.0,17880.0,3060.0,21072.0,0.9228541744954575,0.8731974142217802,0.9276997355460126,0.9004485748838964,0.9000361160825756
ŚREDNIA,229684.83333333334,17072.333333333332,3318.5,21303.166666666668,0.9248608274966243,0.8698077510058466,0.9312737430749518,0.9005407470403991,0.8995544231257396
